Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,07:18,07:04,06:25,06:32,05:46,05:18,05:19,05:45,06:17,06:48,07:24,06:59
2,07:18,07:02,06:23,06:31,05:45,05:17,05:20,05:46,06:18,06:49,07:25,07:00
3,07:18,07:01,06:21,06:29,05:43,05:17,05:20,05:47,06:19,06:50,07:26,07:01
4,07:18,07:00,06:20,06:27,05:42,05:16,05:21,05:48,06:20,06:51,06:27,07:02
5,07:18,06:59,06:18,06:26,05:41,05:16,05:22,05:49,06:21,06:52,06:28,07:03
6,07:18,06:58,06:17,06:24,05:40,05:16,05:22,05:50,06:22,06:53,06:30,07:04
7,07:18,06:57,06:15,06:22,05:39,05:16,05:23,05:51,06:23,06:54,06:31,07:05
8,07:18,06:56,06:13,06:21,05:37,05:15,05:24,05:52,06:24,06:56,06:32,07:06
9,07:18,06:55,06:12,06:19,05:36,05:15,05:24,05:53,06:25,06:57,06:33,07:07
10,07:18,06:53,06:10,06:17,05:35,05:15,05:25,05:54,06:26,06:58,06:35,07:08
11,07:17,06:52,07:08,06:16,05:34,05:15,05:26,05:55,06:27,06:59,06:36,07:08
12,07:17,06:51,07:07,06:14,05:33,05:15,05:27,05:56,06:28,07:00,06:37,07:09
13,07:17,06:50,07:05,06:13,05:32,05:15,05:27,05:57,06:29,07:01,06:38,07:10
14,07:16,06:48,07:03,06:11,05:31,05:15,05:28,05:58,06:30,07:02,06:39,07:11
15,07:16,06:47,07:01,06:09,05:30,05:15,05:29,05:59,06:31,07:03,06:41,07:11
16,07:15,06:46,07:00,06:08,05:29,05:15,05:30,06:00,06:32,07:05,06:42,07:12
17,07:15,06:44,06:58,06:06,05:28,05:15,05:31,06:01,06:33,07:06,06:43,07:13
18,07:14,06:43,06:56,06:05,05:27,05:15,05:32,06:02,06:34,07:07,06:44,07:13
19,07:14,06:41,06:55,06:03,05:26,05:15,05:32,06:03,06:35,07:08,06:46,07:14
20,07:13,06:40,06:53,06:02,05:25,05:15,05:33,06:04,06:36,07:09,06:47,07:15
21,07:13,06:38,06:51,06:00,05:25,05:16,05:34,06:05,06:37,07:10,06:48,07:15
22,07:12,06:37,06:50,05:59,05:24,05:16,05:35,06:06,06:38,07:12,06:49,07:16
23,07:11,06:35,06:48,05:57,05:23,05:16,05:36,06:07,06:39,07:13,06:50,07:16
24,07:11,06:34,06:46,05:56,05:22,05:16,05:37,06:08,06:41,07:14,06:51,07:16
25,07:10,06:32,06:44,05:54,05:22,05:17,05:38,06:10,06:42,07:15,06:53,07:17
26,07:09,06:31,06:43,05:53,05:21,05:17,05:39,06:11,06:43,07:16,06:54,07:17
27,07:08,06:29,06:41,05:52,05:20,05:18,05:40,06:12,06:44,07:17,06:55,07:17
28,07:07,06:28,06:39,05:50,05:20,05:18,05:41,06:13,06:45,07:19,06:56,07:18
29,07:06,06:26,06:38,05:49,05:19,05:18,05:42,06:14,06:46,07:20,06:57,07:18
30,07:05,,06:36,05:47,05:19,05:19,05:43,06:15,06:47,07:21,06:58,07:18
31,07:04,,06:34,,05:18,,05:44,06:16,,07:22,,07:18
